persona_id,interests,Anime,Art,Business and Finance,Celebs,Cryptocurrency,Current Events,Dating,Ethics,Family,Fashion,Fitness,Food and dining experiences,Friendship,Gaming,Global Politics,Horoscope,Hypothetical,Kpop,LGBTQ+,Life choices,Mental health,Movies,Music,Nature,New gadgets,News,Painting,Personal Experiences,Personal finance tips,Social justice,Software updates,Sports,Stock market updates,TV shows,Travel,US Politics,Writing
0065610346c9-652fe6f1,"[0, 0, 0, 0.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04, 0, 0, 0, 0, 0.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0.0,0.0,0.0,0.04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
00c869cdd829-b39765e6,"[0.5, 0.17, 0.5, 0.33, 0, 0, 0.33, 0.33, 0.5, 0.17, 0.33, 0.17, 0.67, 0, 0, 0, 1.67, 0.17, 0, 2.34, 0.67, 0.17, 0.5, 0.5, 0.17, 0, 0, 2.5, 0.5, 0, 0, 0.17, 0, 0.33, 0.33, 0, 0]",0.5,0.17,0.5,0.33,0,0.0,0.33,0.33,0.5,0.17,0.33,0.17,0.67,0.0,0.0,0.0,1.67,0.17,0,2.34,0.67,0.17,0.5,0.5,0.17,0,0,2.5,0.5,0.0,0.0,0.17,0,0.33,0.33,0.0,0.0
0134a567360a-cffe61c9,"[0, 0, 0.15, 0, 0, 0, 0, 0.17, 0, 0, 0, 0, 0, 0, 0, 0, 0.32, 0, 0, 0.44, 0.03, 0, 0, 0.15, 0, 0, 0, 0.17, 0.15, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.15,0.0,0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0,0.44,0.03,0.0,0.0,0.15,0.0,0,0,0.17,0.15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
01a606d27c82-38465b0c,"[0, 0, 0, 0.19, 0, 0, 0, 0.04, 0, 0, 0.39, 0.19, 0, 0.19, 0, 0, 0.58, 0.19, 0, 0.97, 0.19, 0.19, 0.78, 0.04, 0, 0, 0, 1.21, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.19,0,0.0,0.0,0.04,0.0,0.0,0.39,0.19,0.0,0.19,0.0,0.0,0.58,0.19,0,0.97,0.19,0.19,0.78,0.04,0.0,0,0,1.21,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
01b2b2c85b55-80892e3c,"[0.38, 0, 0.19, 0.23, 0, 0, 0, 0.38, 0, 0, 0.38, 0.19, 0, 0.19, 0, 0, 1.14, 0.19, 0, 1.52, 0.38, 0.19, 0.76, 0.19, 0, 0, 0, 1.52, 0.19, 0, 0, 0.04, 0, 0.19, 0, 0, 0]",0.38,0.0,0.19,0.23,0,0.0,0.0,0.38,0.0,0.0,0.38,0.19,0.0,0.19,0.0,0.0,1.14,0.19,0,1.52,0.38,0.19,0.76,0.19,0.0,0,0,1.52,0.19,0.0,0.0,0.04,0,0.19,0.0,0.0,0.0
0264308ac62f-92211a1d,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0, 0, 0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
02d7ef552513-b24667d8,"[0.51, 0.17, 0.51, 0.2, 0, 0, 0.34, 0.34, 0.51, 0.17, 0.34, 0.17, 0.68, 0, 0, 0, 1.7, 0.17, 0, 2.38, 0.68, 0.17, 0.51, 0.51, 0.17, 0, 0, 2.55, 0.51, 0, 0, 0.03, 0, 0.34, 0.34, 0, 0]",0.51,0.17,0.51,0.2,0,0.0,0.34,0.34,0.51,0.17,0.34,0.17,0.68,0.0,0.0,0.0,1.7,0.17,0,2.38,0.68,0.17,0.51,0.51,0.17,0,0,2.55,0.51,0.0,0.0,0.03,0,0.34,0.34,0.0,0.0
02fe6104fb7c-23b7e6e8,"[0.19, 0, 0.16, 0, 0, 0, 0, 0.32, 0, 0, 0.32, 0, 0, 0, 0, 0, 0.65, 0, 0, 0.97, 0.16, 0.16, 0.16, 0.16, 0, 0, 0, 0.97, 0.16, 0, 0, 0, 0, 0.16, 0, 0, 0]",0.19,0.0,0.16,0.0,0,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0,0.97,0.16,0.16,0.16,0.16,0.0,0,0,0.97,0.16,0.0,0.0,0.0,0,0.16,0.0,0.0,0.0
0398b19b9714-39041e4f,"[0, 0, 0, 0, 0, 0, 0, 0.03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
03f3eacd5368-c767cc86,"[0, 0, 0, 0, 0, 0, 0, 0.03, 0, 0, 0.32, 0, 0, 0, 0, 0, 0.16, 0, 0, 0.48, 0, 0.16, 0.16, 0.03, 0, 0, 0, 0.67, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.03,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0,0.48,0.0,0.16,0.16,0.03,0.0,0,0,0.67,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
