day_of_week,skip_rate
Friday,0.5988023952095809
Monday,0.12285012285012285
Saturday,0.07727975270479134
Sunday,0.06093845216331505
Thursday,0.697084917617237
Tuesday,0.11730205278592376
Wednesday,1.0215664018161181
