date,dau
2024-06-01,40
2024-06-02,46
2024-06-03,49
2024-06-04,55
2024-06-05,36
2024-06-06,40
2024-06-07,37
2024-06-08,31
2024-06-09,28
2024-06-10,39
2024-06-11,47
2024-06-12,46
2024-06-13,43
2024-06-14,35
2024-06-15,28
2024-06-16,36
2024-06-17,34
2024-06-18,29
2024-06-19,45
2024-06-20,25
2024-06-21,39
